#allow_merge_commit;allow_rebase_merge;allow_squash_merge;archive_url;archived;assignees_url;blobs_url;branches_url;CHECK_AFTER_INIT_FLAG;clone_url;collaborators_url;comments_url;commits_url;compare_url;contents_url;contributors_url;created_at;default_branch;delete_branch_on_merge;description;downloads_url;etag;events_url;fork;forks;forks_count;forks_url;full_name;git_commits_url;git_refs_url;git_tags_url;git_url;has_downloads;has_issues;has_projects;has_wiki;homepage;hooks_url;html_url;id;issue_comment_url;issue_events_url;issues_url;keys_url;labels_url;language;languages_url;last_modified;master_branch;merges_url;milestones_url;mirror_url;name;network_count;notifications_url;open_issues;open_issues_count;organization;owner;parent;permissions;private;pulls_url;pushed_at;raw_data;raw_headers;size;source;ssh_url;stargazers_count;stargazers_url;statuses_url;subscribers_count;subscribers_url;subscription_url;svn_url;tags_url;teams_url;topics;trees_url;updated_at;url;watchers;watchers_count
;;;;;;;;;;;;;;;;;;;;;;;;;;;jczic/MicroWebSrv2;;;;;;;;;;x;https://github.com/jczic/MicroWebSrv2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Xinyuan-LilyGO/LilyGo-T-Call-SIM800L;;;;;;;;;;x;https://github.com/Xinyuan-LilyGO/LilyGo-T-Call-SIM800L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;micropython-IMU/micropython-mpu9x50;;;;;;;;;;x;https://github.com/micropython-IMU/micropython-mpu9x50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;boochow/micropython-raspberrypi;;;;;;;;;;x;https://github.com/boochow/micropython-raspberrypi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;cvut/MI-PYT;;;;;;;;;;x;https://github.com/cvut/MI-PYT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;mcauser/awesome-micropython;;;;;;;;;;x;https://github.com/mcauser/awesome-micropython;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;pfalcon/awesome-micropython;;;;;;;;;;x;https://github.com/pfalcon/awesome-micropython;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;peterhinch/micropython-font-to-py;;;;;;;;;;x;https://github.com/peterhinch/micropython-font-to-py;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;pfalcon/pycopy-lib;;;;;;;;;;x;https://github.com/pfalcon/pycopy-lib;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;eez-open/modular-psu;;;;;;;;;;x;https://github.com/eez-open/modular-psu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
